Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Charcuterie,merguez,R,2007,7,1,ng/g,Bromés,HBCD alpha,0.0132,0.0132,0.0132,0.0132
Charcuterie,merguez,R,2008,5,1,ng/g,Bromés,HBCD alpha,0.0101,0.0101,0.0101,0.0101
Charcuterie,merguez,R,2008,2,2,ng/g,Bromés,HBCD alpha,0.0013,0.0013,0.0013,0.0013
Charcuterie,merguez,R,2009,5,2,ng/g,Bromés,HBCD alpha,0.0091,0.0091,0.0091,0.0091
Charcuterie,merguez,R,2008,7,2,ng/g,Bromés,HBCD alpha,0.0074,0.0074,0.0074,0.0074
Charcuterie,saucisse de strasbourg,R,2008,2,1,ng/g,Bromés,HBCD alpha,0.1389,0.1389,0.1389,0.1389
Charcuterie,saucisse de strasbourg,R,2007,34,1,ng/g,Bromés,HBCD alpha,0.1745,0.1745,0.1745,0.1745
Charcuterie,saucisse de strasbourg,R,2008,5,1,ng/g,Bromés,HBCD alpha,0.1399,0.1399,0.1399,0.1399
Charcuterie,saucisse de strasbourg,R,2008,8,1,ng/g,Bromés,HBCD alpha,0.2302,0.2302,0.2302,0.2302
Charcuterie,saucisse de strasbourg,R,2008,2,2,ng/g,Bromés,HBCD alpha,0.1882,0.1882,0.1882,0.1882
Charcuterie,saucisse de strasbourg,R,2009,5,2,ng/g,Bromés,HBCD alpha,0.1776,0.1776,0.1776,0.1776
Charcuterie,saucisse de strasbourg,R,2008,34,2,ng/g,Bromés,HBCD alpha,0.1210,0.1210,0.1210,0.1210
Charcuterie,saucisse de strasbourg,R,2008,8,2,ng/g,Bromés,HBCD alpha,0.1151,0.1151,0.1151,0.1151
Volaille et gibier,dinde rôtie,R,2008,9,2,ng/g,Bromés,HBCD alpha,0.0152,0.0152,0.0152,0.0152
Volaille et gibier,dinde rôtie,R,2008,9,1,ng/g,Bromés,HBCD alpha,0.1157,0.1157,0.1157,0.1157
Volaille et gibier,dinde escalope,R,2007,1,1,ng/g,Bromés,HBCD alpha,0.0010,0.0010,0.0010,0.0010
