Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Chocolat,chocolat au lait,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Chocolat,chocolat au lait aux fruits secs,N,2007,99,1,mg/l,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Chocolat,chocolat au lait aux fruits secs,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Chocolat,pâte à tartiner chocolatée,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Chocolat,pâte à tartiner chocolatée,N,2007,99,1,mg/l,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Chocolat,pâte à tartiner chocolatée,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Biscuits sucrés ou salés et barres,biscuit apéritif,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",7,7,7,7
Biscuits sucrés ou salés et barres,biscuit apéritif,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Biscuits sucrés ou salés et barres,biscuit sec au chocolat,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Biscuits sucrés ou salés et barres,biscuit sec au chocolat,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Biscuits sucrés ou salés et barres,biscuit sec,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",6,6,6,6
Biscuits sucrés ou salés et barres,biscuit sec,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Pâtisseries et gâteaux,moelleux au chocolat,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Pâtisseries et gâteaux,moelleux au chocolat,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Pâtisseries et gâteaux,gateau moelleux fourré ou non,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Pâtisseries et gâteaux,gateau moelleux fourré ou non,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Pâtisseries et gâteaux,"chou, chouquette",N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Pâtisseries et gâteaux,"chou, chouquette",N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Pâtisseries et gâteaux,crêpe sucrée,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Pâtisseries et gâteaux,crêpe sucrée,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Pâtisseries et gâteaux,crêpe ou gaufre,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Pâtisseries et gâteaux,crêpe ou gaufre,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Pâtisseries et gâteaux,gâteau,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Pâtisseries et gâteaux,gâteau,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Pâtisseries et gâteaux,tarte ou tartelette,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Pâtisseries et gâteaux,tarte ou tartelette,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Fromages,fromage fondu,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Fromages,fromage fondu,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
