Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Volaille et gibier,dinde escalope,R,2008,9,1,pg/g PF,Dioxines PCB,Lipides (%),2.63,0,,
Volaille et gibier,dinde escalope,R,2008,9,2,pg/g PF,Dioxines PCB,Lipides (%),1.29,0,,
Volaille et gibier,dinde escalope,R,2008,34,2,pg/g PF,Dioxines PCB,Lipides (%),2.72,0,,
Volaille et gibier,dinde escalope,R,2009,5,2,pg/g PF,Dioxines PCB,Lipides (%),2.23,0,,
Volaille et gibier,dinde escalope,R,2009,6,2,pg/g PF,Dioxines PCB,Lipides (%),1.74,0,,
"Entremets, crèmes desserts et laits gélifiés",mousse au chocolat rayon frais,N,2007,99,1,pg/g PF,Dioxines PCB,Lipides (%),5.82,0,,
"Entremets, crèmes desserts et laits gélifiés",mousse au chocolat rayon frais,N,2008,99,2,pg/g PF,Dioxines PCB,Lipides (%),5.72,0,,
"Entremets, crèmes desserts et laits gélifiés",chocolat viennois ou liégeois,N,2007,99,1,pg/g PF,Dioxines PCB,Lipides (%),6.03,0,,
"Entremets, crèmes desserts et laits gélifiés",chocolat viennois ou liégeois,N,2008,99,2,pg/g PF,Dioxines PCB,Lipides (%),5.49,0,,
"Entremets, crèmes desserts et laits gélifiés",crème caramel,N,2007,99,1,pg/g PF,Dioxines PCB,Lipides (%),2.38,0,,
"Entremets, crèmes desserts et laits gélifiés",crème caramel,N,2008,99,2,pg/g PF,Dioxines PCB,Lipides (%),2.24,0,,
"Entremets, crèmes desserts et laits gélifiés",clafoutis aux fruits,R,2008,6,1,pg/g PF,Dioxines PCB,Lipides (%),7.75,0,,
"Entremets, crèmes desserts et laits gélifiés",clafoutis aux fruits,R,2009,6,2,pg/g PF,Dioxines PCB,Lipides (%),7.37,0,,
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2007,1,1,pg/g PF,Dioxines PCB,Lipides (%),2.35,0,,
