Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Lait,lait demi-écrémé,R,2009,6,2,ng/g,Perfluorés,PFOS,"<0,075",0,0.075,0.0375
Lait,lait demi-écrémé,R,2008,34,2,ng/g,Perfluorés,PFOS,"<0,076",0,0.076,0.038
Lait,lait demi-écrémé,R,2008,5,1,ng/g,Perfluorés,PFOS,"<0,095",0,0.095,0.0475
Lait,lait demi-écrémé,R,2008,8,1,ng/g,Perfluorés,PFOS,"<0,096",0,0.096,0.048
Lait,lait demi-écrémé,R,2008,7,2,ng/g,Perfluorés,PFOS,"<0,091",0,0.091,0.0455
Lait,lait demi-écrémé,R,2008,6,1,ng/g,Perfluorés,PFOS,"<0,076",0,0.076,0.038
Lait,lait demi-écrémé,R,2008,1,2,ng/g,Perfluorés,PFOS,"<0,076",0,0.076,0.038
Lait,lait demi-écrémé,R,2008,8,2,ng/g,Perfluorés,PFOS,"<0,073",0,0.073,0.0365
Lait,lait écrémé,R,2007,1,1,ng/g,Perfluorés,PFOS,"<0,046",0,0.046,0.023
Lait,lait écrémé,R,2007,7,1,ng/g,Perfluorés,PFOS,"<0,047",0,0.047,0.0235
Lait,lait écrémé,R,2008,2,1,ng/g,Perfluorés,PFOS,"<0,047",0,0.047,0.0235
Lait,lait écrémé,R,2009,5,2,ng/g,Perfluorés,PFOS,"<0,077",0,0.077,0.0385
Lait,lait écrémé,R,2008,2,2,ng/g,Perfluorés,PFOS,"<0,076",0,0.076,0.038
Lait,lait écrémé,R,2009,6,2,ng/g,Perfluorés,PFOS,"<0,076",0,0.076,0.038
Lait,lait écrémé,R,2008,5,1,ng/g,Perfluorés,PFOS,"<0,095",0,0.095,0.0475
Lait,lait écrémé,R,2008,7,2,ng/g,Perfluorés,PFOS,"<0,095",0,0.095,0.0475
Lait,lait écrémé,R,2008,6,1,ng/g,Perfluorés,PFOS,"<0,074",0,0.074,0.037
Lait,lait écrémé,R,2008,1,2,ng/g,Perfluorés,PFOS,"<0,075",0,0.075,0.0375
Lait,lait entier,R,2007,1,1,ng/g,Perfluorés,PFOS,"<0,047",0,0.047,0.0235
Lait,lait entier,R,2007,34,1,ng/g,Perfluorés,PFOS,"<0,046",0,0.046,0.023
Lait,lait entier,R,2007,7,1,ng/g,Perfluorés,PFOS,"<0,048",0,0.048,0.024
Lait,lait entier,R,2008,2,1,ng/g,Perfluorés,PFOS,"<0,047",0,0.047,0.0235
Lait,lait entier,R,2008,9,1,ng/g,Perfluorés,PFOS,"<0,189",0,0.189,0.0945
